MATRICES	D_Count	H_Count
had(5,12,3,15,7,8,13,6)	512	288
had(5,12,7,8,3,15,13,6)	512	288
had(12,5,15,3,8,7,6,13)	512	288
had(12,5,8,7,15,3,6,13)	512	288
had(7,12,15,13,3,6,8,5)	512	294
had(7,12,3,6,15,13,8,5)	512	294
had(12,7,13,15,6,3,5,8)	512	294
had(12,7,6,3,13,15,5,8)	512	294
had(3,12,5,15,7,6,13,8)	512	300
had(3,12,7,6,5,15,13,8)	512	300
had(12,3,15,5,6,7,8,13)	512	300
had(12,3,6,7,15,5,8,13)	512	300
had(3,12,7,6,15,5,8,13)	512	300
had(3,12,15,5,7,6,8,13)	512	300
had(12,3,6,7,5,15,13,8)	512	300
had(12,3,5,15,6,7,13,8)	512	300
had(3,12,8,13,7,6,15,5)	512	300
had(3,12,7,6,8,13,15,5)	512	300
had(12,3,13,8,6,7,5,15)	512	300
had(12,3,6,7,13,8,5,15)	512	300
had(7,12,13,15,5,8,3,6)	512	302
had(7,12,3,6,5,8,13,15)	512	302
had(7,12,5,8,13,15,3,6)	512	302
had(7,12,5,8,3,6,13,15)	512	302
had(12,7,15,13,8,5,6,3)	512	302
had(12,7,6,3,8,5,15,13)	512	302
had(12,7,8,5,15,13,6,3)	512	302
had(12,7,8,5,6,3,15,13)	512	302
had(12,15,13,7,5,3,6,8)	512	302
had(12,15,5,3,13,7,6,8)	512	302
had(15,12,7,13,3,5,8,6)	512	302
had(15,12,3,5,7,13,8,6)	512	302
had(3,12,5,15,13,8,7,6)	512	304
had(3,12,13,8,5,15,7,6)	512	304
had(12,3,15,5,8,13,6,7)	512	304
had(12,3,8,13,15,5,6,7)	512	304
had(3,12,8,13,15,5,7,6)	512	304
had(3,12,15,5,8,13,7,6)	512	304
had(12,3,13,8,5,15,6,7)	512	304
had(12,3,5,15,13,8,6,7)	512	304
had(7,13,15,12,3,5,8,6)	512	306
had(7,13,3,5,15,12,8,6)	512	306
had(13,7,12,15,5,3,6,8)	512	306
had(13,7,5,3,12,15,6,8)	512	306
had(3,6,7,12,15,13,8,5)	512	306
had(3,6,15,13,7,12,8,5)	512	306
had(6,3,12,7,13,15,5,8)	512	306
had(6,3,13,15,12,7,5,8)	512	306
had(6,7,5,15,12,3,13,8)	512	308
had(6,7,12,3,5,15,13,8)	512	308
had(7,6,15,5,3,12,8,13)	512	308
had(7,6,3,12,15,5,8,13)	512	308
had(5,8,3,6,7,12,13,15)	512	310
had(5,8,7,12,3,6,13,15)	512	310
had(8,5,6,3,12,7,15,13)	512	310
had(8,5,12,7,6,3,15,13)	512	310
had(12,15,13,7,6,8,5,3)	512	310
had(12,15,6,8,13,7,5,3)	512	310
had(15,12,7,13,8,6,3,5)	512	310
had(15,12,8,6,7,13,3,5)	512	310
had(5,12,13,6,7,8,3,15)	512	312
had(5,12,7,8,13,6,3,15)	512	312
had(12,5,6,13,8,7,15,3)	512	312
had(12,5,8,7,6,13,15,3)	512	312
had(3,5,7,13,15,12,8,6)	512	312
had(3,5,15,12,7,13,8,6)	512	312
had(5,3,13,7,12,15,6,8)	512	312
had(5,3,12,15,13,7,6,8)	512	312
had(3,13,8,12,7,5,15,6)	512	312
had(3,13,7,5,8,12,15,6)	512	312
had(13,3,12,8,5,7,6,15)	512	312
had(13,3,5,7,12,8,6,15)	512	312
had(3,6,5,8,7,12,13,15)	512	314
had(3,6,7,12,5,8,13,15)	512	314
had(6,3,8,5,12,7,15,13)	512	314
had(6,3,12,7,8,5,15,13)	512	314
had(3,6,8,5,7,12,15,13)	512	314
had(3,6,7,12,8,5,15,13)	512	314
had(6,3,5,8,12,7,13,15)	512	314
had(6,3,12,7,5,8,13,15)	512	314
had(13,15,12,7,6,3,5,8)	512	314
had(13,15,6,3,12,7,5,8)	512	314
had(15,13,7,12,3,6,8,5)	512	314
had(15,13,3,6,7,12,8,5)	512	314
had(5,12,3,15,13,6,7,8)	512	316
had(5,12,13,6,3,15,7,8)	512	316
had(8,7,15,3,12,5,6,13)	512	316
had(8,7,12,5,15,3,6,13)	512	316
had(7,8,3,15,5,12,13,6)	512	316
had(7,8,5,12,3,15,13,6)	512	316
had(12,5,15,3,6,13,8,7)	512	316
had(12,5,6,13,15,3,8,7)	512	316
had(3,12,7,6,13,8,5,15)	512	316
had(3,12,13,8,7,6,5,15)	512	316
had(12,3,6,7,8,13,15,5)	512	316
had(12,3,8,13,6,7,15,5)	512	316
had(3,13,8,12,15,6,7,5)	512	316
had(3,13,7,5,15,6,8,12)	512	316
had(3,13,15,6,8,12,7,5)	512	316
had(3,13,15,6,7,5,8,12)	512	316
had(13,3,12,8,6,15,5,7)	512	316
had(13,3,5,7,6,15,12,8)	512	316
had(13,3,6,15,12,8,5,7)	512	316
had(13,3,6,15,5,7,12,8)	512	316
had(7,12,13,15,3,6,5,8)	512	318
had(7,12,3,6,13,15,5,8)	512	318
had(12,7,15,13,6,3,8,5)	512	318
had(12,7,6,3,15,13,8,5)	512	318
had(5,7,6,15,13,3,12,8)	512	318
had(5,7,13,3,6,15,12,8)	512	318
had(7,5,15,6,3,13,8,12)	512	318
had(7,5,3,13,15,6,8,12)	512	318
had(3,15,5,12,7,8,13,6)	512	318
had(3,15,7,8,5,12,13,6)	512	318
had(15,3,12,5,8,7,6,13)	512	318
had(15,3,8,7,12,5,6,13)	512	318
had(8,12,3,13,15,6,7,5)	512	318
had(8,12,15,6,3,13,7,5)	512	318
had(12,8,13,3,6,15,5,7)	512	318
had(12,8,6,15,13,3,5,7)	512	318
had(13,12,7,15,3,8,5,6)	512	320
had(13,12,3,8,7,15,5,6)	512	320
had(12,13,15,7,8,3,6,5)	512	320
had(12,13,8,3,15,7,6,5)	512	320
had(6,15,5,7,13,3,12,8)	512	320
had(6,15,13,3,5,7,12,8)	512	320
had(15,6,7,5,3,13,8,12)	512	320
had(15,6,3,13,7,5,8,12)	512	320
had(5,6,3,8,15,7,12,13)	512	322
had(5,6,15,7,3,8,12,13)	512	322
had(6,5,8,3,7,15,13,12)	512	322
had(6,5,7,15,8,3,13,12)	512	322
had(5,6,3,8,7,15,13,12)	512	322
had(5,6,7,15,3,8,13,12)	512	322
had(6,5,8,3,15,7,12,13)	512	322
had(6,5,15,7,8,3,12,13)	512	322
had(5,15,3,12,7,6,13,8)	512	322
had(5,15,6,7,12,3,13,8)	512	322
had(5,15,7,6,3,12,13,8)	512	322
had(5,15,12,3,6,7,13,8)	512	322
had(13,15,12,7,5,8,6,3)	512	322
had(13,15,5,8,12,7,6,3)	512	322
had(12,15,6,8,5,3,13,7)	512	322
had(12,15,5,3,6,8,13,7)	512	322
had(15,12,8,6,3,5,7,13)	512	322
had(15,12,3,5,8,6,7,13)	512	322
had(15,13,7,12,8,5,3,6)	512	322
had(15,13,8,5,7,12,3,6)	512	322
had(15,5,12,3,6,7,8,13)	512	322
had(15,5,7,6,3,12,8,13)	512	322
had(15,5,6,7,12,3,8,13)	512	322
had(15,5,3,12,7,6,8,13)	512	322
had(3,6,8,5,15,13,7,12)	512	322
had(3,6,15,13,8,5,7,12)	512	322
had(6,3,5,8,13,15,12,7)	512	322
had(6,3,13,15,5,8,12,7)	512	322
had(8,7,6,13,12,5,15,3)	512	324
had(8,7,12,5,6,13,15,3)	512	324
had(7,8,13,6,5,12,3,15)	512	324
had(7,8,5,12,13,6,3,15)	512	324
had(6,7,12,3,15,5,8,13)	512	324
had(6,7,15,5,12,3,8,13)	512	324
had(7,6,3,12,5,15,13,8)	512	324
had(7,6,5,15,3,12,13,8)	512	324
had(6,15,5,7,12,8,13,3)	512	324
had(6,15,12,8,5,7,13,3)	512	324
had(15,6,7,5,8,12,3,13)	512	324
had(15,6,8,12,7,5,3,13)	512	324
had(3,5,8,6,7,13,15,12)	512	324
had(3,5,8,6,15,12,7,13)	512	324
had(3,5,7,13,8,6,15,12)	512	324
had(3,5,15,12,8,6,7,13)	512	324
had(5,3,6,8,13,7,12,15)	512	324
had(5,3,6,8,12,15,13,7)	512	324
had(5,3,13,7,6,8,12,15)	512	324
had(5,3,12,15,6,8,13,7)	512	324
had(5,7,3,13,15,6,12,8)	512	326
had(5,7,15,6,3,13,12,8)	512	326
had(7,5,13,3,6,15,8,12)	512	326
had(7,5,6,15,13,3,8,12)	512	326
had(5,8,13,15,7,12,3,6)	512	326
had(5,8,7,12,13,15,3,6)	512	326
had(8,5,15,13,12,7,6,3)	512	326
had(8,5,12,7,15,13,6,3)	512	326
had(3,8,5,6,7,15,13,12)	512	326
had(3,8,5,6,13,12,7,15)	512	326
had(3,8,7,15,5,6,13,12)	512	326
had(3,8,13,12,5,6,7,15)	512	326
had(8,3,6,5,15,7,12,13)	512	326
had(8,3,6,5,12,13,15,7)	512	326
had(8,3,15,7,6,5,12,13)	512	326
had(8,3,12,13,6,5,15,7)	512	326
had(7,12,15,13,8,5,3,6)	512	326
had(7,12,8,5,15,13,3,6)	512	326
had(12,7,13,15,5,8,6,3)	512	326
had(12,7,5,8,13,15,6,3)	512	326
had(13,12,7,15,5,6,3,8)	512	328
had(13,12,5,6,7,15,3,8)	512	328
had(12,13,15,7,6,5,8,3)	512	328
had(12,13,6,5,15,7,8,3)	512	328
had(5,13,8,15,7,3,12,6)	512	328
had(5,13,7,3,8,15,12,6)	512	328
had(13,5,15,8,3,7,6,12)	512	328
had(13,5,3,7,15,8,6,12)	512	328
had(6,15,12,8,13,3,5,7)	512	328
had(6,15,13,3,12,8,5,7)	512	328
had(15,6,8,12,3,13,7,5)	512	328
had(15,6,3,13,8,12,7,5)	512	328
had(3,8,7,15,13,12,5,6)	512	330
had(3,8,13,12,7,15,5,6)	512	330
had(5,6,3,8,13,12,7,15)	512	330
had(5,6,13,12,3,8,7,15)	512	330
had(6,5,8,3,12,13,15,7)	512	330
had(6,5,12,13,8,3,15,7)	512	330
had(8,3,15,7,12,13,6,5)	512	330
had(8,3,12,13,15,7,6,5)	512	330
had(3,6,5,8,12,7,15,13)	512	330
had(3,6,12,7,5,8,15,13)	512	330
had(6,3,8,5,7,12,13,15)	512	330
had(6,3,7,12,8,5,13,15)	512	330
had(6,12,8,15,7,3,13,5)	512	330
had(6,12,7,3,8,15,13,5)	512	330
had(12,6,15,8,3,7,5,13)	512	330
had(12,6,3,7,15,8,5,13)	512	330
had(8,13,3,12,15,5,7,6)	512	330
had(8,13,15,5,3,12,7,6)	512	330
had(13,8,12,3,5,15,6,7)	512	330
had(13,8,5,15,12,3,6,7)	512	330
