MATRICES	D_Count	H_Count
had(1,4,8,5)	92	56
had(4,1,5,8)	92	56
had(2,9,11,8)	92	56
had(9,2,8,11)	92	56
had(1,4,3,5)	100	56
had(4,1,5,3)	100	56
had(2,9,3,11)	100	56
had(9,2,11,3)	100	56
had(1,2,3,11)	96	58
had(2,1,11,3)	96	58
had(1,9,8,11)	88	58
had(9,1,11,8)	88	58
had(1,2,5,3)	96	58
had(2,1,3,5)	96	58
had(1,9,5,8)	88	58
had(9,1,8,5)	88	58
had(1,13,8,12)	92	58
had(13,1,12,8)	92	58
had(2,4,3,13)	92	58
had(4,2,13,3)	92	58
had(4,9,5,11)	108	58
had(9,4,11,5)	108	58
had(4,9,6,8)	92	58
had(9,4,8,6)	92	58
had(2,9,3,13)	88	60
had(9,2,13,3)	88	60
had(2,13,3,4)	92	60
had(13,2,4,3)	92	60
had(2,8,11,9)	92	60
had(8,2,9,11)	92	60
had(2,13,11,12)	108	60
had(13,2,12,11)	108	60
had(2,8,3,10)	116	60
had(8,2,10,3)	116	60
had(2,13,3,15)	108	60
had(13,2,15,3)	108	60
had(9,13,8,15)	100	60
had(13,9,15,8)	100	60
had(1,13,8,15)	96	62
had(13,1,15,8)	96	62
had(2,4,11,6)	104	62
had(4,2,6,11)	104	62
had(4,9,13,11)	96	62
had(9,4,11,13)	96	62
had(1,2,8,6)	84	62
had(2,1,6,8)	84	62
had(1,9,8,13)	76	62
had(9,1,13,8)	76	62
had(1,2,9,3)	76	62
had(2,1,3,9)	76	62
had(1,9,3,13)	84	62
had(9,1,13,3)	84	62
had(1,2,12,3)	92	62
had(2,1,3,12)	92	62
had(1,9,12,8)	84	62
had(9,1,8,12)	84	62
had(1,8,5,9)	88	62
had(8,1,9,5)	88	62
had(2,4,6,5)	104	62
had(4,2,5,6)	104	62
had(4,9,5,13)	96	62
had(9,4,13,5)	96	62
had(4,8,5,1)	92	62
had(8,4,1,5)	92	62
had(1,6,8,7)	116	62
had(6,1,7,8)	116	62
had(1,12,8,13)	92	62
had(12,1,13,8)	92	62
had(1,6,3,7)	124	62
had(6,1,7,3)	124	62
had(4,8,6,9)	92	62
had(8,4,9,6)	92	62
had(4,13,6,12)	108	62
had(13,4,12,6)	108	62
had(8,9,1,11)	88	64
had(9,8,11,1)	88	64
had(2,13,11,15)	112	64
had(13,2,15,11)	112	64
had(9,13,11,4)	96	64
had(13,9,4,11)	96	64
had(1,4,5,13)	92	64
had(4,1,13,5)	92	64
had(2,9,11,13)	92	64
had(9,2,13,11)	92	64
had(2,9,3,1)	76	64
had(9,2,1,3)	76	64
had(1,4,9,5)	84	64
had(4,1,5,9)	84	64
had(2,9,10,8)	100	64
had(9,2,8,10)	100	64
had(1,4,5,6)	100	64
had(4,1,6,5)	100	64
had(2,13,3,9)	88	64
had(13,2,9,3)	88	64
had(2,13,6,12)	104	64
had(13,2,12,6)	104	64
had(1,5,8,4)	92	64
had(5,1,4,8)	92	64
had(1,11,8,10)	116	64
had(11,1,10,8)	116	64
had(8,13,1,12)	92	64
had(13,8,12,1)	92	64
had(1,15,8,14)	116	64
had(15,1,14,8)	116	64
had(2,12,3,5)	116	64
had(12,2,5,3)	116	64
had(2,6,3,15)	116	64
had(6,2,15,3)	116	64
had(2,6,11,7)	132	64
had(6,2,7,11)	132	64
had(2,12,11,13)	108	64
had(12,2,13,11)	108	64
had(3,9,10,8)	116	64
had(9,3,8,10)	116	64
had(9,12,8,5)	108	64
had(12,9,5,8)	108	64
had(1,5,3,4)	100	64
had(5,1,4,3)	100	64
had(1,11,3,10)	124	64
had(11,1,10,3)	124	64
had(1,15,3,14)	124	64
had(15,1,14,3)	124	64
had(3,9,2,11)	100	64
had(9,3,11,2)	100	64
had(2,12,3,14)	124	64
had(12,2,14,3)	124	64
had(6,9,4,8)	92	64
had(9,6,8,4)	92	64
had(6,9,7,11)	132	64
had(9,6,11,7)	132	64
had(8,13,9,15)	100	64
had(13,8,15,9)	100	64
had(8,13,10,12)	124	64
had(13,8,12,10)	124	64
had(1,12,3,5)	112	66
had(12,1,5,3)	112	66
had(1,6,3,15)	112	66
had(6,1,15,3)	112	66
had(1,12,8,14)	112	66
had(12,1,14,8)	112	66
had(4,8,13,10)	112	66
had(8,4,10,13)	112	66
had(1,13,5,4)	92	66
had(13,1,4,5)	92	66
had(1,13,8,9)	76	66
had(13,1,9,8)	76	66
had(4,9,5,1)	84	66
had(9,4,1,5)	84	66
had(1,13,9,12)	84	66
had(13,1,12,9)	84	66
had(2,4,3,12)	100	66
had(4,2,12,3)	100	66
had(1,8,3,12)	100	66
had(8,1,12,3)	100	66
had(1,13,3,9)	84	66
had(13,1,9,3)	84	66
had(1,8,5,10)	116	66
had(8,1,10,5)	116	66
had(1,13,5,15)	108	66
had(13,1,15,5)	108	66
had(4,9,6,13)	92	66
had(9,4,13,6)	92	66
had(1,8,12,9)	84	66
had(8,1,9,12)	84	66
had(2,4,15,5)	108	66
had(4,2,5,15)	108	66
had(1,3,5,2)	96	66
had(3,1,2,5)	96	66
had(1,6,5,7)	128	66
had(6,1,7,5)	128	66
had(4,8,5,12)	112	66
had(8,4,12,5)	112	66
had(4,13,5,9)	96	66
had(13,4,9,5)	96	66
had(3,4,2,13)	92	66
had(4,3,13,2)	92	66
had(2,5,3,12)	116	66
had(5,2,12,3)	116	66
had(2,15,3,6)	116	66
had(15,2,6,3)	116	66
had(9,11,8,2)	92	66
had(11,9,2,8)	92	66
had(3,4,10,5)	132	66
had(4,3,5,10)	132	66
had(4,6,5,15)	124	66
had(6,4,15,5)	124	66
had(5,9,12,8)	108	66
had(9,5,8,12)	108	66
had(3,4,1,5)	100	66
had(4,3,5,1)	100	66
had(2,5,3,7)	132	66
had(5,2,7,3)	132	66
had(2,11,3,9)	100	66
had(11,2,9,3)	100	66
had(2,15,3,13)	108	66
had(15,2,13,3)	108	66
had(5,9,4,11)	108	66
had(9,5,11,4)	108	66
had(4,12,5,14)	132	66
had(12,4,14,5)	132	66
had(4,12,6,13)	108	66
had(12,4,13,6)	108	66
had(5,9,7,8)	124	66
had(9,5,8,7)	124	66
had(9,15,8,13)	100	66
had(15,9,13,8)	100	66
had(9,15,11,14)	132	66
had(15,9,14,11)	132	66
had(1,9,3,4)	80	66
had(9,1,4,3)	80	66
had(1,2,8,15)	88	66
had(2,1,15,8)	88	66
had(1,2,3,10)	104	66
had(2,1,10,3)	104	66
had(1,11,3,2)	96	68
had(2,3,11,1)	96	68
had(3,2,1,11)	96	68
had(11,1,2,3)	96	68
had(1,5,3,12)	112	68
had(5,1,12,3)	112	68
had(1,15,3,6)	112	68
had(15,1,6,3)	112	68
had(1,11,8,9)	88	68
had(11,1,9,8)	88	68
had(1,15,8,13)	96	68
had(8,13,1,15)	96	68
had(13,8,15,1)	96	68
had(15,1,13,8)	96	68
had(2,6,11,4)	104	68
had(6,2,4,11)	104	68
had(2,12,11,14)	128	68
had(12,2,14,11)	128	68
had(3,9,10,11)	128	68
had(9,3,11,10)	128	68
had(8,13,10,4)	112	68
had(13,8,4,10)	112	68
had(9,12,11,5)	120	68
had(12,9,5,11)	120	68
had(2,8,6,1)	84	68
had(8,2,1,6)	84	68
had(8,9,1,13)	76	68
had(9,8,13,1)	76	68
had(2,8,11,12)	108	68
had(8,2,12,11)	108	68
had(2,13,11,9)	92	68
had(13,2,9,11)	92	68
had(9,13,1,12)	84	68
had(13,9,12,1)	84	68
had(2,13,3,5)	108	68
had(13,2,5,3)	108	68
had(2,8,10,9)	100	68
had(8,2,9,10)	100	68
had(9,13,8,5)	100	68
had(13,9,5,8)	100	68
had(2,8,6,10)	116	68
had(8,2,10,6)	116	68
had(2,13,6,15)	108	68
had(13,2,15,6)	108	68
had(8,9,12,11)	108	68
had(9,8,11,12)	108	68
had(2,8,3,5)	108	68
had(8,2,5,3)	108	68
had(2,13,15,12)	108	68
had(13,2,12,15)	108	68
had(9,13,4,12)	92	68
had(13,9,12,4)	92	68
had(1,11,5,10)	128	68
had(11,1,10,5)	128	68
had(3,9,2,13)	88	68
had(9,3,13,2)	88	68
had(2,12,6,13)	104	68
had(12,2,13,6)	104	68
had(3,9,7,8)	120	68
had(9,3,8,7)	120	68
had(6,9,7,13)	120	68
had(9,6,13,7)	120	68
had(6,8,7,1)	116	68
had(8,6,1,7)	116	68
had(1,10,8,11)	116	68
had(10,1,11,8)	116	68
had(8,12,1,13)	92	68
had(12,8,13,1)	92	68
had(1,14,8,15)	116	68
had(14,1,15,8)	116	68
had(3,13,2,4)	92	68
had(13,3,4,2)	92	68
had(3,8,10,9)	116	68
had(8,3,9,10)	116	68
had(3,13,10,12)	132	68
had(13,3,12,10)	132	68
had(4,15,5,6)	124	68
had(15,4,6,5)	124	68
had(4,11,13,10)	124	68
had(11,4,10,13)	124	68
had(4,15,13,14)	124	68
had(15,4,14,13)	124	68
had(8,12,9,5)	108	68
had(12,8,5,9)	108	68
had(1,10,3,11)	124	68
had(10,1,11,3)	124	68
had(1,14,3,15)	124	68
had(14,1,15,3)	124	68
had(3,8,2,10)	116	68
had(8,3,10,2)	116	68
had(3,13,2,15)	108	68
had(13,3,15,2)	108	68
had(4,11,5,9)	108	68
had(11,4,9,5)	108	68
had(6,8,4,9)	92	68
had(8,6,9,4)	92	68
had(4,11,6,10)	132	68
had(11,4,10,6)	132	68
had(6,13,4,12)	108	68
had(13,6,12,4)	108	68
had(4,15,6,14)	132	68
had(15,4,14,6)	132	68
had(6,8,7,10)	148	68
had(8,6,10,7)	148	68
had(6,13,7,15)	140	68
