MATRICES	D_Count	H_Count
had(1,6,14,2,10,9,7,12)	520	288
had(1,6,10,9,14,2,7,12)	520	288
had(6,1,2,14,9,10,12,7)	520	288
had(6,1,9,10,2,14,12,7)	520	288
had(1,7,3,15,11,5,6,12)	520	288
had(1,7,11,5,3,15,6,12)	520	288
had(7,1,15,3,5,11,12,6)	520	288
had(7,1,5,11,15,3,12,6)	520	288
had(1,10,5,8,7,14,11,13)	520	288
had(1,10,7,14,5,8,11,13)	520	288
had(10,1,8,5,14,7,13,11)	520	288
had(10,1,14,7,8,5,13,11)	520	288
had(1,11,6,3,9,4,10,13)	520	288
had(1,11,9,4,6,3,10,13)	520	288
had(11,1,3,6,4,9,13,10)	520	288
had(11,1,4,9,3,6,13,10)	520	288
had(12,15,13,10,8,14,6,3)	544	290
had(12,15,8,14,13,10,6,3)	544	290
had(15,12,10,13,14,8,3,6)	544	290
had(15,12,14,8,10,13,3,6)	544	290
had(13,8,2,9,12,6,11,5)	544	290
had(13,8,12,6,2,9,11,5)	544	290
had(8,13,9,2,6,12,5,11)	544	290
had(8,13,6,12,9,2,5,11)	544	290
had(1,2,14,6,10,12,7,9)	520	290
had(1,2,10,12,14,6,7,9)	520	290
had(2,1,6,14,12,10,9,7)	520	290
had(2,1,12,10,6,14,9,7)	520	290
had(1,15,3,7,11,12,6,5)	520	290
had(1,15,11,12,3,7,6,5)	520	290
had(15,1,7,3,12,11,5,6)	520	290
had(15,1,12,11,7,3,5,6)	520	290
had(4,13,5,15,7,12,9,10)	544	290
had(4,13,7,12,5,15,9,10)	544	290
had(13,4,15,5,12,7,10,9)	544	290
had(13,4,12,7,15,5,10,9)	544	290
had(1,8,5,10,7,13,11,14)	520	290
had(1,8,7,13,5,10,11,14)	520	290
had(8,1,10,5,13,7,14,11)	520	290
had(8,1,13,7,10,5,14,11)	520	290
had(1,4,6,13,9,11,10,3)	520	290
had(1,4,9,11,6,13,10,3)	520	290
had(4,1,13,6,11,9,3,10)	520	290
had(4,1,11,9,13,6,3,10)	520	290
had(2,12,3,4,11,13,14,7)	544	290
had(2,12,11,13,3,4,14,7)	544	290
had(12,2,4,3,13,11,7,14)	544	290
had(12,2,13,11,4,3,7,14)	544	290
had(2,8,13,9,15,7,1,3)	472	292
had(2,8,15,7,13,9,1,3)	472	292
had(8,2,9,13,7,15,3,1)	472	292
had(8,2,7,15,9,13,3,1)	472	292
had(2,4,3,12,10,8,5,1)	472	292
had(2,4,10,8,3,12,5,1)	472	292
had(4,2,12,3,8,10,1,5)	472	292
had(4,2,8,10,12,3,1,5)	472	292
had(2,14,6,1,9,10,12,7)	520	292
had(2,14,9,10,6,1,12,7)	520	292
had(14,2,1,6,10,9,7,12)	520	292
had(14,2,10,9,1,6,7,12)	520	292
had(3,15,1,7,11,5,6,12)	520	292
had(3,15,11,5,1,7,6,12)	520	292
had(15,3,7,1,5,11,12,6)	520	292
had(15,3,5,11,7,1,12,6)	520	292
had(8,15,12,14,4,11,1,9)	472	292
had(8,15,4,11,12,14,1,9)	472	292
had(15,8,14,12,11,4,9,1)	472	292
had(15,8,11,4,14,12,9,1)	472	292
had(5,8,1,10,7,14,11,13)	520	292
had(5,8,7,14,1,10,11,13)	520	292
had(8,5,10,1,14,7,13,11)	520	292
had(8,5,14,7,10,1,13,11)	520	292
had(4,9,3,6,11,1,13,10)	520	292
had(4,9,11,1,3,6,13,10)	520	292
had(9,4,6,3,1,11,10,13)	520	292
had(9,4,1,11,6,3,10,13)	520	292
had(4,15,5,13,6,2,14,1)	472	292
had(4,15,6,2,5,13,14,1)	472	292
had(15,4,13,5,2,6,1,14)	472	292
